tourney_id,tourney_name,surface,winner_name,winner_age,loser_name,loser_age,score
2015-329,Tokyo,Hard,Stanislas Wawrinka,30.5215605749,Radek Stepanek,36.8542094456,7-5 6-3
2015-329,Tokyo,Hard,Tatsuma Ito,27.3812457221,Yoshihito Nishioka,20.0219028063,3-6 6-0 7-5
2015-329,Tokyo,Hard,Austin Krajicek,25.3032169747,Matthew Ebden,27.8576317591,5-7 7-6(4) 7-6(5)
2015-329,Tokyo,Hard,Joao Sousa,26.5160848734,Feliciano Lopez,34.0396988364,6-4 4-6 6-1
2015-329,Tokyo,Hard,Gilles Simon,30.7707049966,Mikhail Youzhny,33.2785763176,6-4 6-4
2015-329,Tokyo,Hard,Jiri Vesely,22.2368240931,Yasutaka Uchiyama,23.1649555099,6-4 6-4
2015-329,Tokyo,Hard,Jeremy Chardy,28.643394935,Samuel Groth,27.961670089,6-3 2-0 RET
2015-329,Tokyo,Hard,Gilles Muller,32.4079397673,Kevin Anderson,29.3826146475,6-2 6-3
2015-329,Tokyo,Hard,Benoit Paire,26.4093086927,Grigor Dimitrov,24.3887748118,6-4 3-6 6-1
2015-329,Tokyo,Hard,Marcos Baghdatis,30.2997946612,Fernando Verdasco,31.8877481177,7-5 6-1
2015-329,Tokyo,Hard,Nick Kyrgios,20.4407939767,Albert Ramos,27.7152635181,6-7(3) 6-3 6-3
2015-329,Tokyo,Hard,Roberto Bautista Agut,27.4743326489,Richard Gasquet,29.2977412731,6-4 6-1
2015-329,Tokyo,Hard,Marin Cilic,27.0171115674,Donald Young,26.2012320329,7-5 5-7 6-4
2015-329,Tokyo,Hard,Steve Johnson,25.7796030116,Bernard Tomic,22.9541409993,6-3 2-1 RET
2015-329,Tokyo,Hard,Sam Querrey,27.9945242984,Alexandr Dolgopolov,26.9075975359,7-6(5) 6-4
2015-329,Tokyo,Hard,Kei Nishikori,25.7659137577,Borna Coric,18.8884325804,2-6 6-1 6-2
2015-329,Tokyo,Hard,Stanislas Wawrinka,30.5215605749,Tatsuma Ito,27.3812457221,6-3 2-6 6-4
2015-329,Tokyo,Hard,Austin Krajicek,25.3032169747,Joao Sousa,26.5160848734,2-6 6-4 6-3
2015-329,Tokyo,Hard,Gilles Simon,30.7707049966,Jiri Vesely,22.2368240931,6-4 6-2
2015-329,Tokyo,Hard,Gilles Muller,32.4079397673,Jeremy Chardy,28.643394935,7-6(3) 7-6(5)
2015-329,Tokyo,Hard,Benoit Paire,26.4093086927,Marcos Baghdatis,30.2997946612,6-3 2-6 7-5
2015-329,Tokyo,Hard,Nick Kyrgios,20.4407939767,Roberto Bautista Agut,27.4743326489,6-4 6-2
2015-329,Tokyo,Hard,Marin Cilic,27.0171115674,Steve Johnson,25.7796030116,6-3 6-3
2015-329,Tokyo,Hard,Kei Nishikori,25.7659137577,Sam Querrey,27.9945242984,7-6(3) 6-3
2015-329,Tokyo,Hard,Stanislas Wawrinka,30.5215605749,Austin Krajicek,25.3032169747,6-3 6-4
2015-329,Tokyo,Hard,Gilles Muller,32.4079397673,Gilles Simon,30.7707049966,6-3 6-4
2015-329,Tokyo,Hard,Benoit Paire,26.4093086927,Nick Kyrgios,20.4407939767,3-6 6-4 6-1
2015-329,Tokyo,Hard,Kei Nishikori,25.7659137577,Marin Cilic,27.0171115674,3-6 7-5 6-3
2015-329,Tokyo,Hard,Stanislas Wawrinka,30.5215605749,Gilles Muller,32.4079397673,6-4 7-6(5)
2015-329,Tokyo,Hard,Benoit Paire,26.4093086927,Kei Nishikori,25.7659137577,1-6 6-4 6-2
2015-329,Tokyo,Hard,Stanislas Wawrinka,30.5215605749,Benoit Paire,26.4093086927,6-2 6-4
2015-429,Stockholm,Hard,Alexander Zverev,18.4969199179,Mikael Ymer,17.1088295688,7-6(9) 6-7(5) 6-4
2015-429,Stockholm,Hard,Nicolas Almagro,30.160164271,Jarkko Nieminen,34.2395619439,3-6 7-6(6) 6-4
2015-429,Stockholm,Hard,Grigor Dimitrov,24.4271047228,Filip Krajinovic,23.6413415469,7-5 6-3
2015-429,Stockholm,Hard,Marcos Baghdatis,30.3381245722,Sam Querrey,28.0328542094,7-6(2) 6-1
2015-429,Stockholm,Hard,John Millman,26.3463381246,Benjamin Becker,34.340862423,7-6(2) 6-3
2015-429,Stockholm,Hard,Gilles Muller,32.4462696783,Mischa Zverev,28.1587953457,6-3 6-7(2) 6-1
2015-429,Stockholm,Hard,Jack Sock,23.0663928816,Pablo Carreno Busta,24.2710472279,6-3 6-7(1) 6-3
2015-429,Stockholm,Hard,Fernando Verdasco,31.9260780287,Denis Kudla,23.1704312115,6-4 6-4
2015-429,Stockholm,Hard,Leonardo Mayer,28.4298425736,Maximilian Marterer,20.3449691992,6-7(4) 6-2 6-2
2015-429,Stockholm,Hard,Jeremy Chardy,28.681724846,Thanasi Kokkinakis,19.523613963,7-5 4-6 7-5
2015-429,Stockholm,Hard,Federico Delbonis,25.0376454483,Ante Pavic,26.6173853525,3-6 6-3 7-5
2015-429,Stockholm,Hard,Steve Darcis,31.6002737851,Adrian Mannarino,27.3045859001,7-6(4) 6-4
2015-429,Stockholm,Hard,Tomas Berdych,30.0862422998,Alexander Zverev,18.4969199179,6-3 6-4
2015-429,Stockholm,Hard,Grigor Dimitrov,24.4271047228,Nicolas Almagro,30.160164271,6-2 6-4
2015-429,Stockholm,Hard,Marcos Baghdatis,30.3381245722,Bernard Tomic,22.9924709103,7-6(7) 6-3
2015-429,Stockholm,Hard,Gilles Muller,32.4462696783,John Millman,26.3463381246,7-5 6-3
2015-429,Stockholm,Hard,Jack Sock,23.0663928816,Fernando Verdasco,31.9260780287,7-6(5) 6-7(5) 6-4
2015-429,Stockholm,Hard,Gilles Simon,30.8090349076,Leonardo Mayer,28.4298425736,6-2 6-4
2015-429,Stockholm,Hard,Jeremy Chardy,28.681724846,Federico Delbonis,25.0376454483,6-3 7-6(2)
2015-429,Stockholm,Hard,Richard Gasquet,29.3360711841,Steve Darcis,31.6002737851,6-1 2-0 RET
2015-429,Stockholm,Hard,Tomas Berdych,30.0862422998,Grigor Dimitrov,24.4271047228,7-5 6-4
2015-429,Stockholm,Hard,Marcos Baghdatis,30.3381245722,Gilles Muller,32.4462696783,7-6(5) 4-6 6-3
2015-429,Stockholm,Hard,Jack Sock,23.0663928816,Gilles Simon,30.8090349076,7-5 7-6(5)
2015-429,Stockholm,Hard,Richard Gasquet,29.3360711841,Jeremy Chardy,28.681724846,2-6 6-3 7-6(4)
2015-429,Stockholm,Hard,Tomas Berdych,30.0862422998,Marcos Baghdatis,30.3381245722,6-1 RET
2015-429,Stockholm,Hard,Jack Sock,23.0663928816,Richard Gasquet,29.3360711841,6-4 6-2
2015-429,Stockholm,Hard,Tomas Berdych,30.0862422998,Jack Sock,23.0663928816,7-6(1) 6-2
2015-439,Umag,Clay,Bastian Trinker,25.1909650924,Mikhail Youzhny,33.067761807,2-6 6-3 6-3
2015-439,Umag,Clay,Paolo Lorenzi,33.5934291581,Matteo Trevisan,25.9329226557,1-6 6-2 7-5
2015-439,Umag,Clay,Philipp Kohlschreiber,31.7590691307,Santiago Giraldo,27.6440793977,6-3 6-2
2015-439,Umag,Clay,Dusan Lajovic,25.054072553,Laslo Djere,20.1314168378,6-3 6-3
2015-439,Umag,Clay,Andreas Haider Maurer,28.3285420945,Thomas Fabbiano,26.1492128679,6-3 6-4
2015-439,Umag,Clay,Martin Klizan,26.0232717317,Pablo Carreno Busta,24.0219028063,7-6(3) 6-7(8) 6-1
2015-439,Umag,Clay,Fabio Fognini,28.1560574949,Jiri Vesely,22.0260095825,6-4 6-4
2015-439,Umag,Clay,Damir Dzumhur,23.1649555099,Lukas Rosol,29.9876796715,6-3 6-0
2015-439,Umag,Clay,Joao Sousa,26.3052703628,Toni Androic,23.5592060233,6-2 6-1
2015-439,Umag,Clay,Borna Coric,18.6776180698,Marcel Granollers,29.2703627652,6-3 6-3
2015-439,Umag,Clay,Aljaz Bedene,26.0041067762,Mate Delic,21.8042436687,6-4 6-3
2015-439,Umag,Clay,Blaz Kavcic,28.3750855578,Andrey Rublev,17.7467488022,7-6(0) 2-6 6-3
2015-439,Umag,Clay,Gael Monfils,28.8815879535,Bastian Trinker,25.1909650924,6-3 6-0
2015-439,Umag,Clay,Philipp Kohlschreiber,31.7590691307,Paolo Lorenzi,33.5934291581,6-2 7-5
2015-439,Umag,Clay,Dominic Thiem,21.8754277892,Dusan Lajovic,25.054072553,6-1 3-1 RET
2015-439,Umag,Clay,Andreas Haider Maurer,28.3285420945,Martin Klizan,26.0232717317,6-4 6-4
2015-439,Umag,Clay,Fabio Fognini,28.1560574949,Damir Dzumhur,23.1649555099,6-3 7-5
2015-439,Umag,Clay,Joao Sousa,26.3052703628,Andreas Seppi,31.40862423,6-2 6-2
2015-439,Umag,Clay,Borna Coric,18.6776180698,Aljaz Bedene,26.0041067762,6-4 6-4
2015-439,Umag,Clay,Roberto Bautista Agut,27.2635181383,Blaz Kavcic,28.3750855578,6-1 6-2
2015-439,Umag,Clay,Gael Monfils,28.8815879535,Philipp Kohlschreiber,31.7590691307,4-6 7-6(5) 6-4
2015-439,Umag,Clay,Dominic Thiem,21.8754277892,Andreas Haider Maurer,28.3285420945,6-7(5) 6-1 3-0 RET
2015-439,Umag,Clay,Joao Sousa,26.3052703628,Fabio Fognini,28.1560574949,6-2 3-6 7-6(6)
2015-439,Umag,Clay,Roberto Bautista Agut,27.2635181383,Borna Coric,18.6776180698,6-3 6-3
2015-439,Umag,Clay,Dominic Thiem,21.8754277892,Gael Monfils,28.8815879535,1-6 6-3 6-1
2015-439,Umag,Clay,Joao Sousa,26.3052703628,Roberto Bautista Agut,27.2635181383,4-6 6-2 6-3
2015-439,Umag,Clay,Dominic Thiem,21.8754277892,Joao Sousa,26.3052703628,6-4 6-1
2015-422,Cincinnati Masters,Hard,Benoit Paire,26.2751540041,Gilles Muller,32.2737850787,7-6(5) 7-6(6)
2015-422,Cincinnati Masters,Hard,Fernando Verdasco,31.7535934292,Jo Wilfried Tsonga,30.3326488706,4-6 6-3 6-4
2015-422,Cincinnati Masters,Hard,David Goffin,24.6926762491,Yen Hsun Lu,32.0082135524,5-7 6-3 6-4
2015-422,Cincinnati Masters,Hard,Ivo Karlovic,36.4654346338,Gilles Simon,30.636550308,6-4 6-7(3) 6-3
2015-422,Cincinnati Masters,Hard,Martin Klizan,26.0999315537,Dominic Thiem,21.9520876112,7-6(5) 3-6 7-6(4)
2015-422,Cincinnati Masters,Hard,Borna Coric,18.7542778919,Alexander Zverev,18.3244353183,7-5 3-6 7-6(5)
2015-422,Cincinnati Masters,Hard,Bernard Tomic,22.8199863107,Sergiy Stakhovsky,29.6098562628,6-4 6-3
2015-422,Cincinnati Masters,Hard,Jared Donaldson,18.8528405202,Nicolas Mahut,33.568788501,7-5 6-7(2) 6-2
2015-422,Cincinnati Masters,Hard,Jerzy Janowicz,24.758384668,Gael Monfils,28.9582477755,6-4 7-5
2015-422,Cincinnati Masters,Hard,Sam Querrey,27.8603696099,John Isner,30.3080082136,6-3 7-6(3)
2015-422,Cincinnati Masters,Hard,Tommy Robredo,33.2950034223,Pablo Andujar,29.5633127995,3-6 6-3 6-1
2015-422,Cincinnati Masters,Hard,Thomaz Bellucci,27.6303901437,Jiri Vesely,22.1026694045,7-6(5) 6-2
2015-422,Cincinnati Masters,Hard,Joao Sousa,26.3819301848,Philipp Kohlschreiber,31.8357289528,6-2 6-7(5) 6-2
2015-422,Cincinnati Masters,Hard,Thanasi Kokkinakis,19.3511293634,Fabio Fognini,28.2327173169,4-6 6-2 6-3
2015-422,Cincinnati Masters,Hard,Richard Gasquet,29.1635865845,Nick Kyrgios,20.3066392882,6-2 6-1
2015-422,Cincinnati Masters,Hard,Grigor Dimitrov,24.2546201232,Lukas Rosol,30.0643394935,6-2 3-6 6-3
2015-422,Cincinnati Masters,Hard,Vasek Pospisil,25.1498973306,Denis Kudla,22.9979466119,6-4 6-3
2015-422,Cincinnati Masters,Hard,Mardy Fish,33.6865160849,Viktor Troicki,29.5140314853,6-2 6-2
2015-422,Cincinnati Masters,Hard,Jeremy Chardy,28.5092402464,Rajeev Ram,31.4140999316,6-4 6-2
2015-422,Cincinnati Masters,Hard,Andreas Seppi,31.485284052,Adrian Mannarino,27.1321013005,6-3 6-3
2015-422,Cincinnati Masters,Hard,Feliciano Lopez,33.9055441478,Milos Raonic,24.6379192334,7-6(4) 6-4
